text,duration,scenario,base,finetuned,wer_base,wer_ft,delta,auto_tags,category
आणि,0.641,Extempore,आणि,पाणी येऊ,0.0,2.0,2.0,very short ref,
अच्छा,0.323,Conversation,अच्छा,ओके,0.0,1.0,1.0,very short ref,
ब्रानझील,0.833,Extempore,ब्रांझील,ब्रान झील,1.0,2.0,1.0,very short ref,
किचनचं सगळं,0.697,Conversation,किचनचं सगळं,किचनचा सगळा,0.0,1.0,1.0,very short ref,
हो,0.351,Conversation,हो,हां,0.0,1.0,1.0,very short ref,
हॅलो,0.3,Conversation,हॅलो,हं,0.0,1.0,1.0,very short ref,
बरोबर,0.449,Extempore,उपद्रव,उघड बरं,1.0,2.0,1.0,very short ref,
बरं,0.445,Conversation,बरं,पर,0.0,1.0,1.0,very short ref,
हां,0.439,Conversation,हां,आं,0.0,1.0,1.0,very short ref,
हं,0.363,Conversation,हं,हो,0.0,1.0,1.0,very short ref,
मग आई एक्सपेक्ट,1.405,Conversation,मग आई एक्सपेक्ट,माय एक्सपेक्ट,0.0,0.667,0.667,,
आणि नक्की काय झालं आहे दाढेमध्ये असं,2.943,Conversation,आणि नक्की काय झालं आहे झाडामध्ये असं,आणि नक्की काय झालं आहे झाडामध्ये असं,0.143,0.143,0.0,,
एक महि दोन टाईमला गा,1.396,Conversation,एक महिन्याचे दोन टाईम लागा,एक महिन्याचे दोन टाईम लागा,0.6,0.6,0.0,,
आणि त्याला मार्गदर्शन करणे त्यामुळे ते विद्यार्थी नवनवीन जे काही गोष्टी आहे ते त्यामध्ये करू शकतात आणि तो आपली एक नवीन वस्तू नवीन गोष्ट ते तयार करू शकतात मग विद्यार्थी शिक विद्यार्थ्यांना शिक्षकांचे जर मार्गदर्शन मिळाले,14.657,Extempore,आणि त्याला मार्गदर्शन करणे त्यामुळे ते विद्यार्थी नवनवीन जे काही गोष्टी आहे ते त्यामध्ये करू शकतात आणि तो आपली एक नवीन वस्तू नवीन गोष्ट ते तयार करू शकतात मा विद्यार्थी शि विद्यार्थ्यांना शिक्षकांचे जर मार्गदर्शन मिळाले,आणि त्याला मार्गदर्शन करणे त्यामुळे ते विद्यार्थी नवनवीन जे काही गोष्टी आहे ते त्यामध्ये करू शकतात आणि तो आपली एक नवीन वस्तू नवीन गोष्ट ते तयार करू शकतात मा विद्यार्थी शि विद्यार्थ्यांना शिक्षकांचे जर मार्गदर्शन मिळाले,0.056,0.056,0.0,long utterance,
ते खायला पाहिजेत आणि उन्हाळ्यामध्ये पाणी हे सर्वात जास्त भरपूर प्यायला पाहिजे बाहेर निघाल्यावर आपण उन्हामध्ये थकवा जास्त येतो,8.702,Extempore,ते खायला पाहिजे आणि उन्हाळ्यामध्ये पाणी हे सर्वात जास्त भरपूर प्यायला पाहिजे बाहेर निघाल्यावर आपण उन्हामध्ये थकवा जास्त येतो,ते खायला पाहिजे आणि उन्हाळ्यामध्ये पाणी हे सर्वात जास्त भरपूर प्यायला पाहिजे बाहेर निघाल्यावर आपण उन्हामध्ये थकवा जास्त येतो,0.053,0.053,0.0,,
कृपया तुम्ही मला पी के पंचवीस एप्रिलवर मुक्त ए टू सिनेमासवर खेळवण्यासाठी प प्रदर्शनाची वेळ देऊ शकता का व्यतिरिक्त या विशिष्ट प्रदर्शनासाठी काही विशेष ऑफर आहेत का,17.729,Read,कृपया तुम्ही मला पी के पंचवीस एप्रिलवर मुक्त ए टू सिनेमासवर खेळवण्यासाठी प प्रदर्शनाची वेळ देऊ शकता का व्यतिरिक्त या विशिष्ट प्रदर्शनासाठी काही विशेष ऑफर आहेत का,कृपया तुम्ही मला पी के पंचवीस एप्रिलवर मुक्त ए टू सिनेमासवर खेळवण्यासाठी प प्रदर्शनची वेळ देऊ शकता का व्यतिरिक्त या विशिष्ट प्रदर्शनासाठी काही विशेष ऑफर आहेत का,0.0,0.037,0.037,long utterance,
मला झारखंड राज्यात पंधरा सतरा वर्ष वयासाठी कोवोवॅक्स ही लस कुठे मिळेल,8.517,Read,मला झारखंड राज्यात पंधरा सतरा वर्ष वयासाठी कोवोव्हॅक्स ही लस कुठे मिळेल,मला झारखंड राज्यात पंधरा सतरा वर्ष वयासाठी कोवोव्हॅक्स ही लस कुठे मिळेल,0.083,0.083,0.0,,
ठीक ठीक ठीक आहे आनि ठीक ठीक आहे आपण ग्रामपंचायत अधिकऱ्यांना बोलू आणि त्यांना मीटिंग लावण्यासाठी सांगू आणि मी सुद्धा मीटिंगचे नोटीस काढण्यासाठी पत्र देतो आणि लवकरच मीटिंग लावून आपण हे जे काय प्रश्न आहेत ते आपण लवकरात लवकर सोडवण्यासाठी प्रयत्न करू,23.059,Conversation,ठीक ठीक ठीक आहे आणि ठीक ठीक आहे आपण ग्रामपंचायत अधिकाऱ्यांना बोलवू आणि त्यांना मीटिंग लावण्यासाठी सांगू आणि मी सुद्धा मीटिंगचे नोटीस काढण्यासाठी पत्र देतो आणि लवकरच मीटिंग लावून आपण हे जे काय प्रश्न आहेत ते आपण लवकरात लवकर सोडवण्यासाठी प्रयत्न करू,ठीक ठीक ठीक आहे आणि ठीक ठीक आहे आपण ग्रामपंचायत अधिकाऱ्यांना बोलू आणि त्यांना मिटिंग लावण्यासाठी सांगू आणि मी सुद्धा मिटिंगची नोटीस काढण्यासाठी पत्र देतो आणि लवकरच मिटिंग लावून आपण हे जे काय प्रश्न आहेत ते आपण लवकरात लवकर सोडवण्यासाठी प्रयत्न करू,0.071,0.119,0.048,long utterance,
आपल्याकडे ग्राउंड वगैरे पण भरपूर आहे तर तुम्ही उद्याला मुलगा आलेला असं घेऊन यायचं सोबत,6.96,Conversation,आपल्याकडे ग्राउंड वगैरे पण भरपूर आहे तर तुम्ही उद्याला मुलगा आलेलास घेऊन याच्यासोबत,आता तर ग्राउंड वगैरे पण भरपूर आहे तर तुम्ही उद्याला मुलगा आलेलाच घेऊन याच्यासोबत,0.267,0.4,0.133,,
ओके मॅडम म्हणजे होम लोन पाहिजे तुम्हाला घर बांधण्यासाठी कर्ज घ्यायचं आहे अच्छा अच्छा मला एक काही माहिती लागेल थोडी फक्त इथं फोनवर आत्ता मी घेतो आणि नंतर मग पुन्हा भेट होईल प्रत्यक्षात तेव्हा आमचा एक्झेकुटिव्ह येऊन जाईल तर त्याला मग बाकीचे कागद आणि सगळं हे करा आता तूर्त मला एवढं सांगा आता तुम्ही तुमचं उत्पन्नाचं साधन काय नोकरी आहे बिझनेस का काय नेमकं,20.974,Conversation,ओके मॅडम म्हणजे होम लोन पाहिजे तुम्हाला घर बांधण्यासाठी कर्ज घ्यायचा अच्छा अच्छा अच्छा हां मला एक काही माहिती लागेल थोडी फक्त इथं फोनवर आता मी घेतो आणि नंतर मग पुन्हा प्रत्यक्षात किंवा आमचा एक्झिक्युटिव्ह येऊन जाईल तर त्याला मग बाकीचे डाऊट आणि हे सगळं हे करा आता तू तर मला एवढं सांग आता तुम्ही तुमचं उत्पन्नाचं साधन काय आहे नोकरी आहे बिझनेसचं काय आहे त्यांचं,ओके मॅडम म्हणजे होम लोन पाहिजे तुम्हाला घर बांधण्यासाठी कर्ज घ्यायचा अच्छा अच्छा अच्छा हां मला एक काही माहिती लागेल थोडी फक्त इथं फोनवर आता मी घेतो आणि नंतर मग कोणाला प्रत्यक्षात किंवा आमचा एक्झिक्युटिव्ह येऊन जाईल तर त्याला मग बाकीचे डाऊट आणि हे सगळं हे करा आता तुमचं मला एवढं सांग आता तुम्ही तुमचं उत्पन्नाचं साधन काय आहे नोकरी आहे बिझनेसचं काय आहे त्यांचं,0.281,0.281,0.0,long utterance,
नाही नाही नाही रिटर्निंग पॉलिसीमध्ये फक्त तुम्हाला तो प्रोडक्ट चेंज होईल तुम्हाला सेम प्रोडक्ट भेल भेटेल जो जो काय डिफॉल्ट असेल तो मी पिकअप करणार आणि दुसरा नवीन जो काय तुम्हाला तुम्ही ऑर्डर केलेला फ्लिपकार्टवरून तोच प्रोडक्ट जेन्युअन प्रोडक्ट म म्हणजे तुम्हाला भेटेल डबल रिटर्न करून,19.073,Conversation,नाही नाही नाही रिटर्निंग पॉलिसीमध्ये फक्त तुम्हाला तो प्रोडक्ट चेंज होईल तुम्हाला सेम प्रोडक्ट बेल भेटेल जो जो काय डिफॉल्ट असेल तो मी पिकअप करणार आणि दुसरा नवीन जो काय तुम्हाला तुम्ही ऑर्डर केलेला फ्लिपकार्टवरून तोच प्रोडक्ट जेन्युअन प्रोडक्ट म म्हणजे तुम्हाला भेटेल डबल रिटर्न करून,नाही नाही नाही रिटर्निंग पॉलिसीमध्ये फक्त तुम्हाला तो प्रोडक्ट चेंज होईल तुम्हाला सेम प्रोडक्ट बेल भेटेल जो जो काय डिफॉल्ट असेल तो मी पिकअप करणार आणि दुसरा नवीन जो काय तुम्हाला तुम्ही ऑर्डर केलेला फ्लिपकार्टवरून तोच प्रोडक्ट जेन्युअन प्रोडक्ट म म्हणजे तुम्हाला भेटेल डबल रिटर्न करून,0.022,0.022,0.0,long utterance,
साडी गा घालून देणे त्यांना विविध कुरत्या त्यांना शर्ट पँन्ट या पद्धतीचे कपडे मी रोज तयार करायची आणि रोज त्या बाहुल्यांना घालून द्यायची त्यामुळे,9.9,Extempore,साडी घालून देणे त्यांना विविध कुर्त्या त्यांना शर्ट पॅन्ट या पद्धतीचे कपडे मी रोज तयार करायची आणि रोज त्या बाहुल्यांना घालून द्यायची त्यामुळे,साडी घालून देणे त्यांना विविध कुर्त्या त्यांना शर्ट पॅन्ट या पद्धतीचे कपडे मी रोज तयार करायची आणि रोज त्या बाहुल्यांना घालून द्यायची त्यामुळे,0.125,0.125,0.0,,
तीन फ्लोर आहेत,0.909,Conversation,तीन फ्लोअर आहेत,तीन फ्लोअर आहेत,0.333,0.333,0.0,,
नाही ऑनलाईन ऑनलाईन क्यू आर पाठवून द्या ना तुम्ही,2.015,Conversation,नाही ऑनलाईन ऑनलाईन क्यू आर पाठवून द्याल तुम्हाला,नाही ऑनलाईन ऑनलाईन क्यू आर पाठवून द्या ना तुम्हाला,0.333,0.111,-0.222,,
त्याचा त्यांच्याकुणच माहिती घेतो आणि त्यांचा शेती डेव्हलपमेंटकरिता पाठिंबा मिळवतो आणि त्याच्यामुळे शेतीचा,9.65,Extempore,त्याचा त्यांच्याकडूनच माहिती घेतो आणि त्यांचा शेती डेव्हलपमेंटकरिता पाठिंबा मिळतो आणि त्याच्यामुळे शेती,त्याचा त्यांच्याकडूनच माहिती घेतो आणि त्यांचा शेती डेव्हलपमेंटकरिता पाठिंबा मिळतो आणि त्याच्यामुळे शेती,0.231,0.231,0.0,,
आणि पारंपरिक खेळ असे खेळत खेळत परंपरा वाढवली पाहिजे कुणी म्हणजे आपली परंपरा विसरणार नाही,6.303,Extempore,आणि हे पारंपरिक खेळ असे खेळत खेळत परंपरा वाढवली पाहिजे कोणी म्हणजे आपली परंपरा विसरणार नाही,आणि हे पारंपरिक खेळ असे खेळत खेळत परंपरा वाढवली पाहिजे कोणी म्हणजे आपली परंपरा विसरणार नाही,0.133,0.133,0.0,,
हो तर ते जे डेकोरेशन वगैरे करतात आणि ते पूर्ण नवरात्रीचं फेस्टिल खूप चांगल्या प्रकारे होतो ना यवतमाळला,8.111,Conversation,हो तर ते जे डेकोरेशन वगैरे करतात आणि पूर्ण नवरात्रीचं फेस्टिवल खूप चांगल्या प्रकारे होतो ना यवतमाळला,हो तर ते जे डेकोरेशन वगैरे करतात आणि पूर्ण नवरात्रीचं फेस्टिवल खूप चांगल्या प्रकारे होतो ना यवतमाळला,0.111,0.111,0.0,,
बऱ्याच काळापासून मी जयपूरला जायचं म्हणतो आहे पण दुसरीकडे ही गोल्डन ट्रायंगल टूर अगदी योग्य आहे,8.52,Read,बऱ्याच काळापासून मी जयपूरला जायचं म्हणतो आहे पण दुसरीकडे ही गोल्डन ट्रँगल टूर अगदी योग्य आहे,बऱ्याच काळापासून मी जयपूरला जायचं म्हणतो आहे पण दुसरीकडे ही गोल्डन ट्रँगल टूर अगदी योग्य आहे,0.062,0.062,0.0,,
म्हणजे तुम्हाला पूर्ण हो हो हो पूर्ण लग्न वगैरे पूर्ण पूर्ण फंक्शन्सचं पाहिजे का,6.881,Conversation,म्हणजे तुम्हाला पूर्ण हो हो हो पूर्ण लग्न वगैरे पूर्ण पूर्ण फंक्शनचं पाहिजे का,म्हणजे तुम्हाला पूर्ण हो हो हो पूर्ण लग्न वगैरे पूर्ण पूर्ण फंक्शनचं पाहिजे का,0.071,0.071,0.0,,
मला कॉम्प्युटर इंजिनीअरिंगमध्ये इंटरेस्ट आहे सो त्याच्यामध्ये मला ॲडमिशन घ्यायचं होतं,4.671,Conversation,मला कॉम्प्युटर इंजिनीअरिंगमध्ये इंटरेस्ट आहे सो त्याच्यामध्ये मला ॲडमिशन घ्यायचं होतं,मला कॉम्प्युटर इंजिनिअरिंगमध्ये इंटरेस्ट आहे सो त्याच्यामध्ये मला ॲडमिशन घ्यायचं होतं,0.0,0.091,0.091,,
फू फूड सर राजस्थानची स्पेशालिटी आहे चुरमा दालबाटी अजून त्यांच्याकडे स्वीट डिशेस खूप स्वीट डिशेसमध्ये खूप त्यांच्याकडे व्हरायटी अव्हेलेबल असते,10.047,Conversation,फू फूड सर राजस्थानची स्पेशालिटी आहे चुरमा दाल बाटी अजून त्यांच्याकडे स्वीट डिशेस खूप म्हणजे स्वीट डिशेसमध्ये खूप त्यांच्याकडे व्हरायटी अवेलेबल असत्या,फू फूड सर राजस्थानची स्पेशालिटी आहे चुरमा दाल बाटी अजून त्यांच्याकडे स्वीट डिशेस खूप म्हणजे स्वीट डिशेसमध्ये खूप त्यांच्याकडे व्हरायटी अवेलेबल असतात,0.25,0.25,0.0,,
असं असं एक वेगळं विचित्र स्वरूप सध्याच्या शेर बाजाराला आलेलं आहे असं मला वाटतं व्यक्तिशः,6.4,Extempore,असं असं एक वेगळं विचित्र स्वरूप सध्याच्या शेअर बाजाराला आलेलं आहे असं मला वाटतं व्यक्तिशः,असं असं एक वेगळं विचित्र स्वरूप सध्याच्या शेअर बाजाराला आलेलं आहे असं मला वाटतं व्यक्तिशः,0.067,0.067,0.0,,
आणि आणि गवार निवडून ठेवली आहे का पण ती,2.752,Conversation,आणि आणि गवार निवडून ठेवली आहे का आपण ती,आणि आणि गवार निवडून ठेवली आहे का आपण ती,0.111,0.111,0.0,,
शिष्टाचार मार्गदर्शक तत्त्वामध्ये सुरक्षा निष्पक्षता खेळाचा वेग आणि घटनाक्रमाची काळजी घेण्यात योगदान देण्याची खेळाडूची जबाबदारी यासारख्या बाबींचा समावेश आहे,11.824,Read,शिष्टाचार मार्गदर्शक तत्त्वामध्ये सुरक्षा निष्पक्षता खेळाची वेग आणि घटनाक्रमाची काळजी घेण्यात योगदान देण्याची खेळाडूची जबाबदारी यासारख्या बाबींचा समावेश आहे,शिष्टाचार मार्गदर्शक तत्त्वामध्ये सुरक्षा निष्पक्षता खेळाची वेग आणि घटनाक्रमाची काळजी घेण्यात योगदान देण्याची खेळाडूची जबाबदारी यासारख्या बाबींचा समावेश आहे,0.053,0.053,0.0,,
तर सकाळचा ब्रेकफास्ट आणि रात्रीचं डिनर आपल्यासाठी सर कॉम्प्लिमेंटरी असेल आणि दुपारच्या वेळी कारण आपण वेगवेगळी स्थळं बघायला जाणार आहात तर ते तुम्ही चांगल्या पद्धतीचं हायजेनिक फूड तुम्हाला उपलब्ध होऊ शकेल अशी काही आम्ही तुम्हाला नंबर आणि ठिकाणं सांगू,15.425,Conversation,तर सकाळचा ब्रेकफास्ट आणि रात्रीचं डिनर आपल्यासाठी सर कॉम्प्लिमेंटरी असेल आणि दुपारच्या वेळी कारण आपण वेगवेगळी सह बघायला जाणार आहात तर ती तुम्ही चांगल्या पद्धतीचं हायजेनिक फूड तुम्हाला उपलब्ध होऊ शकेल अशी काही आम्ही तुम्हाला नंबर आणि ठिकाणं सांगू,तर सकाळचा ब्रेकफास्ट आणि रात्रीचं डिनर आपल्यासाठी सर कॉम्प्लिमेंटरी असेल आणि दुपारच्या वेळी कारण आपण वेगवेगळी सह बघायला जाणार आहात तर ती तुम्ही चांगल्या पद्धतीचं हायजेनिक फूड तुम्हाला उपलब्ध होऊ शकेल अशी काही आम्ही तुम्हाला नंबर आणि ठिकाणं सांगू,0.051,0.051,0.0,long utterance,
सजेस्ट कर,0.459,Conversation,तर इफ,तर इफ,1.0,1.0,0.0,very short ref,
तर त्याच्यासाठी आपल्याकडं तसे जमा झाले आता आम्ही नऊ जणं आपण सर्व नऊ झालो तर आपण आठ जण सोळा हजार झाले आणि तुझे कधी मिळेल,9.107,Conversation,तर त्याच्यासाठी आपल्याकडं तसे जमा झाले आता आम्ही नऊजणं आपण सर्व नऊ झालो तर आपण आठजणं सोळाजणं झाले पण तुझे कधी मिळेल,तर त्याच्यासाठी आपल्याकडं तसे जमा झाले आता आम्ही नऊजणं आपण सर्व नऊ झालो तर आपण आठजणं सोळाजणं झाले पण तुझे कधी मिळेल,0.28,0.28,0.0,long utterance,
